data_origin,sample_id,truth_id,true_state,voxelized_volume_um3,analytic_ellipsoid_volume_um3,center_z_um,center_y_um,center_x_um
synthetic_phantom,SYN_Vehicle_R1,1,compromised_like,7311.0,7363.795402261368,47.874231258668104,37,25
synthetic_phantom,SYN_Vehicle_R1,2,viable_like,9042.0,8983.299966569413,43.969007713157936,37,72
synthetic_phantom,SYN_Vehicle_R1,3,viable_like,13665.0,13552.395535051008,44.94657946303078,37,119
synthetic_phantom,SYN_Vehicle_R1,4,viable_like,18486.0,18441.421130243016,43.36374268275003,91,25
synthetic_phantom,SYN_Vehicle_R1,5,viable_like,11208.0,11228.257723784931,45.89974039016824,91,72
synthetic_phantom,SYN_Vehicle_R1,6,viable_like,15963.0,16001.141950349578,45.44965773635846,91,119
synthetic_phantom,SYN_Treatment_A_R1,1,compromised_like,10725.0,10729.980437373399,45.726129606807326,37,25
synthetic_phantom,SYN_Treatment_A_R1,2,mixed_signal,8010.0,8066.448394368308,45.41099468239063,37,72
synthetic_phantom,SYN_Treatment_A_R1,3,mixed_signal,12456.0,12468.538176232934,44.130987715796955,37,119
synthetic_phantom,SYN_Treatment_A_R1,4,viable_like,8856.0,8745.925277405944,43.63939703941538,91,25
synthetic_phantom,SYN_Treatment_A_R1,5,compromised_like,7023.0,7026.246814243121,48.013115228472486,91,72
synthetic_phantom,SYN_Treatment_A_R1,6,mixed_signal,13248.0,13180.373324025923,46.2738191930145,91,119
synthetic_phantom,SYN_Treatment_B_R1,1,compromised_like,3270.0,3281.462205254098,45.92828430868854,37,25
synthetic_phantom,SYN_Treatment_B_R1,2,compromised_like,4320.0,4377.383030279919,46.29454926042968,37,72
synthetic_phantom,SYN_Treatment_B_R1,3,viable_like,6180.0,6215.031801958411,43.51523557934058,37,119
synthetic_phantom,SYN_Treatment_B_R1,4,mixed_signal,5568.0,5573.87535398416,48.8814006066385,91,25
synthetic_phantom,SYN_Treatment_B_R1,5,compromised_like,6432.0,6499.161187361744,44.50959587503232,91,72
synthetic_phantom,SYN_Treatment_B_R1,6,mixed_signal,2850.0,2907.84034417715,44.7610483591583,91,119
synthetic_phantom,SYN_Live_control_R1,1,viable_like,13431.0,13505.254940829494,46.08172306425448,37,25
synthetic_phantom,SYN_Live_control_R1,2,viable_like,19236.0,19249.87847793874,47.095399000004605,37,72
synthetic_phantom,SYN_Live_control_R1,3,viable_like,13881.0,13932.246247806157,47.99657012817965,37,119
synthetic_phantom,SYN_Live_control_R1,4,viable_like,10530.0,10468.941355298522,43.00387115061416,91,25
synthetic_phantom,SYN_Live_control_R1,5,viable_like,11646.0,11599.771750156564,46.71647352547902,91,72
synthetic_phantom,SYN_Live_control_R1,6,viable_like,9831.0,9766.223574395817,44.59597348980146,91,119
