sample_id,iou_threshold,n_true,n_predicted,true_positives,false_negatives,false_positives,precision,recall,detection_f1,mean_dice_matched,mean_iou_matched,panoptic_quality,possible_splits,possible_merges
SYN_Dead_control_R1,0.5,6,6,6,0,0,1.0,1.0,1.0,0.9999480362679417,0.9998960891702126,0.9998960891702126,0,0
SYN_Dead_control_R2,0.5,6,6,6,0,0,1.0,1.0,1.0,0.999967639361818,0.9999352851123581,0.9999352851123581,0,0
SYN_Dead_control_R3,0.5,6,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
SYN_Live_control_R1,0.5,6,6,6,0,0,1.0,1.0,1.0,0.9999819878237689,0.9999639795403789,0.9999639795403789,0,0
SYN_Live_control_R2,0.5,6,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
SYN_Live_control_R3,0.5,6,6,6,0,0,1.0,1.0,1.0,0.999958559474767,0.9999171293471116,0.9999171293471116,0,0
SYN_Treatment_A_R1,0.5,6,6,6,0,0,1.0,1.0,1.0,0.9999443420463229,0.9998887041211656,0.9998887041211656,0,0
SYN_Treatment_A_R2,0.5,6,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
SYN_Treatment_A_R3,0.5,6,6,6,0,0,1.0,1.0,1.0,0.9999203496937583,0.9998407431984074,0.9998407431984074,0,0
SYN_Treatment_B_R1,0.5,6,6,6,0,0,1.0,1.0,1.0,0.9999421095287716,0.9998842592592592,0.9998842592592592,0,0
SYN_Treatment_B_R2,0.5,6,6,6,0,0,1.0,1.0,1.0,0.9999593198275161,0.9999186595087034,0.9999186595087034,0,0
SYN_Treatment_B_R3,0.5,6,6,6,0,0,1.0,1.0,1.0,0.999973732597846,0.9999474734741044,0.9999474734741044,0,0
SYN_Vehicle_R1,0.5,6,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
SYN_Vehicle_R2,0.5,6,6,6,0,0,1.0,1.0,1.0,0.9999578758642409,0.9999157627254224,0.9999157627254224,0,0
SYN_Vehicle_R3,0.5,6,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
