sample_id,condition,biological_replicate,unit_id,batch_id,control,data_origin,organoid_id,original_label_id,segmented_voxels,envelope_voxels,segmented_volume_um3,volume_um3,surface_area_um2,sphericity,equivalent_diameter_um,enclosed_void_fraction,centroid_z_um,centroid_y_um,centroid_x_um,extent_z_um,extent_y_um,extent_x_um,principal_axis_major_um,principal_axis_intermediate_um,principal_axis_minor_um,axis_ratio_minor_to_major,n_z_slices,touches_border,morphology_eligible,morphology_flags,background_voxels,calcein_mean_raw,calcein_background_median,calcein_background_noise_mad,calcein_mean_bg_corrected,calcein_integrated_bg_corrected,calcein_saturated_fraction,pi_mean_raw,pi_background_median,pi_background_noise_mad,pi_mean_bg_corrected,pi_integrated_bg_corrected,pi_saturated_fraction,viability_measurement_eligible,viability_measurement_flags,calcein_control_scaled,pi_control_scaled,viability_state,viability_reason,viability_method
local_1,unannotated_file_1,file_identity_only_1,local_1,batch1,sample,user_images_unvalidated,1,1,55828,55828,6658.454017,6658.454017,4368.319824,0.3918188271,23.34129393,0,14.95342839,75.08373763,58.64299018,30,41.75820097,35.89740083,46.10042762,38.61765748,16.88596329,0.3662864785,15,True,False,border_truncated,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,morphology_QC_failed,unclassified
local_1,unannotated_file_1,file_identity_only_1,local_1,batch1,sample,user_images_unvalidated,2,2,21806,21806,2600.742428,2600.742428,1938.927979,0.4716871106,17.06211665,0,25.01788499,40.61672328,77.77089296,18,33.45540078,25.39680059,40.21091712,17.00969676,14.31084435,0.3558945026,9,True,False,border_truncated,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,morphology_QC_failed,unclassified
local_1,unannotated_file_1,file_identity_only_1,local_1,batch1,sample,user_images_unvalidated,3,3,68085,68085,8120.313136,8120.313136,5462.859375,0.3576398917,24.93779506,0,14.95471837,38.53518412,60.94032751,28,41.51400096,38.09520088,51.01061243,40.3995222,24.23303488,0.4750586932,14,True,False,border_truncated,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,morphology_QC_failed,unclassified
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,user_images_unvalidated,1,1,68270,68270,17578.98544,17578.98544,7520.274414,0.4347567236,32.26005187,0,15.40882525,122.4979879,106.8684288,46.5,39.77475886,58.41917707,52.59002657,37.66851029,34.89946578,0.6636137696,31,True,False,border_truncated,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,morphology_QC_failed,unclassified
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,user_images_unvalidated,2,2,53345,53345,13735.9159,13735.9159,6269.82666,0.4423849451,29.71344453,0,16.74030368,95.48696236,95.36437105,40.5,48.06116695,32.73131197,52.133944,37.2313052,25.34509632,0.4861534419,27,True,False,border_truncated,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,morphology_QC_failed,unclassified
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,user_images_unvalidated,3,3,15300,15300,3939.629079,3939.629079,2096.163086,0.575478733,19.59531446,0,25.52627451,77.83905143,126.2540968,36,24.03058347,24.03058347,38.52057985,22.43418761,14.84452288,0.3853660286,24,False,True,,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,missing_calcein_channel;missing_pi_channel,unclassified
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,user_images_unvalidated,4,4,19503,19503,5021.868362,5021.868362,2749.407715,0.5158085386,21.24657353,0,28.7099677,114.2799687,77.62301174,31.5,26.93082631,28.17378752,38.31152532,27.56350045,18.64086243,0.4865601742,21,False,True,,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,missing_calcein_channel;missing_pi_channel,unclassified
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,user_images_unvalidated,5,5,13274,13274,3417.950091,3417.950091,1865.95459,0.5880670759,18.6891277,0,32.91343981,96.74949526,114.9071791,28.5,26.93082631,18.23009781,33.74645381,18.70272691,15.03705723,0.4455892555,19,False,True,,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,missing_calcein_channel;missing_pi_channel,unclassified
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,user_images_unvalidated,6,6,43640,43640,11236.9551,11236.9551,6459.515137,0.3755922605,27.78966689,0,18.34444317,92.35182834,123.5069284,40.5,48.47548735,42.67500169,58.73280855,36.84142816,25.77744516,0.4388934532,27,True,False,border_truncated,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,morphology_QC_failed,unclassified
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,user_images_unvalidated,7,7,13933,13933,3587.637383,3587.637383,1770.75769,0.6400256043,18.99342587,0,35.99494007,137.5531254,113.380163,31.5,19.05873862,18.23009781,32.45466556,19.43790963,14.30268141,0.4406972361,21,False,True,,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,missing_calcein_channel;missing_pi_channel,unclassified
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,user_images_unvalidated,8,8,11489,11489,2958.326699,2958.326699,1638.982056,0.6080519437,17.81076213,0,32.78666551,95.13011425,77.61069728,30,24.44490388,15.74417538,33.24788623,23.63108093,12.46721915,0.3749777975,20,False,True,,0,,,,,,,,,,,,,False,missing_calcein_channel;missing_pi_channel,,,indeterminate,missing_calcein_channel;missing_pi_channel,unclassified
