case_id,shape,rho,rho_stratum,spacing,area_true_um2,area_est_um2,area_rel_err,volume_true_um3,volume_voxel_um3,volume_rel_err,area_est_um2_frozen,area_rel_err_frozen,volume_voxel_um3_frozen
dev-000-sphere-size3-sp1x1x1-offset0,sphere,3,small(3-6),1x1x1,113.097335529,120.712677002,0.0673344021509,113.097335529,110,-0.0273864588829,120.712677,0.06733440215,110
dev-001-sphere-size3-sp1x1x1-offset1,sphere,3,small(3-6),1x1x1,113.097335529,119.094055176,0.0530226430047,113.097335529,112,-0.0097025763171,119.0940552,0.053022643,112
dev-002-sphere-size3-sp1x1x1-offset2,sphere,3,small(3-6),1x1x1,113.097335529,121.195899963,0.0716070312024,113.097335529,114,0.00798130624867,121.1959,0.0716070312,114
dev-003-sphere-size6-sp1x1x1-offset0,sphere,6,medium(6-12),1x1x1,452.389342117,490.147247314,0.0834632951803,904.778684234,911,0.00687606358831,490.1472473,0.08346329518,911
dev-004-sphere-size6-sp1x1x1-offset1,sphere,6,medium(6-12),1x1x1,452.389342117,483.042694092,0.0677587845713,904.778684234,891,-0.0152287896189,483.0426941,0.06775878457,891
dev-005-sphere-size6-sp1x1x1-offset2,sphere,6,medium(6-12),1x1x1,452.389342117,486.642120361,0.0757152635031,904.778684234,900,-0.00528160567565,486.6421204,0.0757152635,900
dev-006-sphere-size12-sp1x1x1-offset0,sphere,12,large(>=12),1x1x1,1809.55736847,1963.22790527,0.0849216164591,7238.22947387,7236,-0.000308013704032,1963.227905,0.08492161646,7236
dev-007-sphere-size12-sp1x1x1-offset1,sphere,12,large(>=12),1x1x1,1809.55736847,1965.57324219,0.0862176996642,7238.22947387,7249,0.00148800561905,1965.573242,0.08621769966,7249
dev-008-sphere-size12-sp1x1x1-offset2,sphere,12,large(>=12),1x1x1,1809.55736847,1969.22875977,0.0882378166508,7238.22947387,7249,0.00148800561905,1969.22876,0.08823781665,7249
dev-009-sphere-size24-sp1x1x1-offset0,sphere,24,large(>=12),1x1x1,7238.22947387,7873.00976562,0.0876982823003,57905.835791,57895,-0.000187127788055,7873.009766,0.0876982823,57895
dev-010-sphere-size24-sp1x1x1-offset1,sphere,24,large(>=12),1x1x1,7238.22947387,7858.17333984,0.0856485509627,57905.835791,57853,-0.000912443283917,7858.17334,0.08564855096,57853
dev-011-sphere-size24-sp1x1x1-offset2,sphere,24,large(>=12),1x1x1,7238.22947387,7881.21777344,0.0888322623492,57905.835791,57925,0.000330954708989,7881.217773,0.08883226235,57925
