case_id,shape,rho_eff,A1,A2,v2
confirm-004-sphere-size20-sp1.5x1x1-offset0,sphere,13.335080938770483,-0.0010987710976692044,0.0037990181431803993,-0.0040228132235559
confirm-005-sphere-size20-sp1.5x1x1-offset1,sphere,13.333091726673194,-0.001097072525177989,0.003708422953516255,-0.0043788258661391
confirm-006-sphere-size30-sp1.5x1x1-offset0,sphere,20.004842117107582,-0.0004884066109585028,0.004727086121437685,-0.00124320681972
confirm-007-sphere-size30-sp1.5x1x1-offset1,sphere,20.00386992710089,-0.0004884667045866875,0.004720820224992428,-0.001227224993425
confirm-011-ellipsoid-size20-sp1.5x1x1-rot0,ellipsoid,8.627320470554388,-0.0007426595942139347,0.0005599629877124368,-0.0061326793291531
confirm-012-ellipsoid-size20-sp1.5x1x1-rot1,ellipsoid,8.613994932288994,-0.0006438190419614243,0.0006238155658297995,-0.0084150661513134
confirm-013-ellipsoid-size20-sp1.5x1x1-rot2,ellipsoid,8.622090349395139,-0.00045519318263620434,0.001916429722439661,-0.0074535608152652
confirm-014-ellipsoid-size40-sp1.5x1x1-rot0,ellipsoid,17.23192131894989,-0.00018307638141967786,0.003207152205892738,-0.0030611526658256
confirm-015-ellipsoid-size40-sp1.5x1x1-rot1,ellipsoid,17.234303145763313,-0.00015449855556515235,0.003393519260794786,-0.0034894636574889
confirm-016-ellipsoid-size40-sp1.5x1x1-rot2,ellipsoid,17.235136629632603,-9.106070419839796e-05,0.0050614426923067946,-0.0034656922785089
confirm-020-cylinder-size10-sp1.5x1x1-rot0,cylinder,8.282525517838161,-0.022050894996672454,-0.018396800985157724,-0.0399801795090831
confirm-021-cylinder-size10-sp1.5x1x1-rot1,cylinder,8.204982871836519,-0.020633907498025073,-0.021794546153231398,-0.0541059354074003
confirm-022-cylinder-size10-sp1.5x1x1-rot2,cylinder,8.22018994333156,-0.020259673971057657,-0.021372814900625703,-0.0478513189420334
confirm-023-cylinder-size20-sp1.5x1x1-rot0,cylinder,16.388002821387513,-0.015866687263749624,-0.013371051974842452,-0.0399007745358674
confirm-024-cylinder-size20-sp1.5x1x1-rot1,cylinder,16.430822056960853,-0.00935981177846723,-0.0067625395530225285,-0.0328851158766843
confirm-025-cylinder-size20-sp1.5x1x1-rot2,cylinder,16.443388956523282,-0.009114031806309653,-0.006613498242304061,-0.0286838695339067
