spacing,aniso,m,K,lp_maxdev,lp_t_star,lp_nconstraint,lp_nzero,vor_maxdev,secs
1.0x1.0x1.0,1.0,1,13,0.042638261391586774,0.04263826139158657,985,0,0.06910621814567253,0.0
1.0x1.0x1.0,1.0,2,49,0.01295195003965155,0.012951950038485554,1236,10,0.018409910631163373,0.4
1.0x1.0x1.0,1.0,3,145,0.006070053993779689,0.006070050541649043,2271,32,0.008659895982262134,14.4
1.0x1.0x1.0,1.0,4,289,0.004167221512215713,0.0033521212417157446,3578,81,0.005559435504039367,163.2
2.0x1.0x1.0,2.0,1,13,0.09291895429800245,0.09291895429800204,946,5,0.12185000170063309,0.0
2.0x1.0x1.0,2.0,2,49,0.03798513604081344,0.03798513603788708,1271,22,0.0644646841963632,0.4
2.0x1.0x1.0,2.0,3,145,0.020794238630212014,0.020794238629693394,1916,72,0.04279205260503671,7.4
2.0x1.0x1.0,2.0,4,289,0.01270863818723944,0.012708638187085583,2470,148,0.028852928941253353,113.2
3.0x1.0x1.0,3.0,1,13,0.12139759922528393,0.12139759922497628,922,5,0.1503015900068957,0.0
3.0x1.0x1.0,3.0,2,49,0.06148150457568713,0.06148150457535631,1013,32,0.08419274802450571,0.2
3.0x1.0x1.0,3.0,3,145,0.037837003811188374,0.037837003699269206,1359,106,0.06618626141707873,3.5
3.0x1.0x1.0,3.0,4,289,0.025041516959433352,0.02504151686718163,1969,190,0.05061891836934951,32.7
2.0x0.7x0.7,2.857,1,13,0.11836482970461204,0.11836482970423091,931,4,0.1437292336039021,0.0
2.0x0.7x0.7,2.857,2,49,0.05825331471317319,0.058243902956375986,984,31,0.08247399228031349,0.1
2.0x0.7x0.7,2.857,3,145,0.035917037476608016,0.035917037475936164,1669,103,0.0635631463119175,4.7
2.0x0.7x0.7,2.857,4,289,0.027393077148798683,0.023346504073471944,3360,238,0.04779255507336466,146.5
1.5x1.0x1.0,1.5,1,13,0.06912442995328072,0.06912442995267506,978,1,0.09780372178306629,0.0
1.5x1.0x1.0,1.5,2,49,0.025220615054390993,0.025220615054125005,1519,14,0.04483186761655755,0.7
1.5x1.0x1.0,1.5,3,145,0.012731736439366648,0.01272621718666259,1860,50,0.027067832218220955,9.4
1.5x1.0x1.0,1.5,4,289,0.009813783218378447,0.007447812982727125,3578,169,0.017224832611378194,198.4
2.5x0.8x0.8,3.125,1,13,0.12403634845660605,0.12403625787448092,913,5,0.15645744404160444,0.0
2.5x0.8x0.8,3.125,2,49,0.06428039122642604,0.0642803912017373,1024,34,0.08547961903753531,0.2
2.5x0.8x0.8,3.125,3,145,0.04048575092682172,0.04048575064436492,1527,104,0.06829145572489081,5.4
2.5x0.8x0.8,3.125,4,289,0.026950230382354667,0.0269502303821524,2533,211,0.052987572909688696,109.7
4.0x1.0x1.0,4.0,1,13,0.13691681715883242,0.13691681715875545,932,5,0.19333306167785835,0.0
4.0x1.0x1.0,4.0,2,49,0.08443567548141051,0.08443567547759406,954,37,0.10341256607239646,0.1
4.0x1.0x1.0,4.0,3,145,0.05421946910517694,0.054219469105173446,1154,116,0.0790173851556577,1.4
4.0x1.0x1.0,4.0,4,289,0.03780086471594357,0.03780086305906744,1942,239,0.06679047401843197,23.3
