spacing,n_voxels_per_side,rho_equivalent,area_true,area_est,area_rel_err,volume_rel_err
1x1x1,2,1,24,16.21733284,-0.324277798335,0
1x1x1,4,2,96,81.1878967285,-0.154292742411,0
1x1x1,8,4,384,355.128997803,-0.0751849015554,0
1x1x1,16,8,1536,1479.01123047,-0.0371020634969,0
1x1x1,32,16,6144,6030.77587891,-0.0184284051259,0
1x1x1,64,32,24576,24350.3046875,-0.00918356577555,0
3x1x1,2,1,56,39.4932861328,-0.294762747628,0
3x1x1,4,2,224,193.762084961,-0.134990692139,0
3x1x1,8,4,896,838.299621582,-0.0643977437701,0
3x1x1,16,8,3584,3471.375,-0.0314243861607,0
3x1x1,32,16,14336,14113.5253906,-0.0155185971941,0
3x1x1,64,32,57344,56901.828125,-0.00771086556571,0
2x0.7x0.7,2,1,26.32,18.5125236511,-0.296636639395,0
2x0.7x0.7,4,2,105.28,90.9383087158,-0.136224271316,0
2x0.7x0.7,8,4,421.12,393.709899902,-0.0650885735602,0
2x0.7x0.7,16,8,1684.48,1630.93310547,-0.0317883824867,0
2x0.7x0.7,32,16,6737.92,6632.09912109,-0.0157052738688,0
2x0.7x0.7,64,32,26951.68,26741.3105469,-0.00780543005575,0
1x1x1 (45deg prism),8,4,663.293505963,697.823669434,0.0520586484862,
1x1x1 (45deg prism),16,8,2562.66435586,2629.99267578,0.0262727812034,
1x1x1 (45deg prism),32,16,10069.6380875,10202.5625,0.0132005153891,
1x1x1 (45deg prism),64,32,39916.5136779,40180.625,0.006616592928,
