spacing,radius,rho,bin,nz,ny,nx,solid_angle_weight,g,total_area_rel_err,closure_residual
1x1x1,48,48,0,0.994791666667,0.0369365437488,-0.0950012192893,0.0048975,1.03944474027,0.0857443809509,1.34972538257e-07
1x1x1,48,48,1,0.984375,-0.1579098305,0.0779124175379,0.00525,1.0621310679,0.0857443809509,1.34972538257e-07
1x1x1,48,48,2,0.973958333333,0.217690772682,0.0633710692655,0.00538,1.07730748887,0.0857443809509,1.34972538257e-07
1x1x1,48,48,3,0.963541666667,-0.138910573698,-0.228672930431,0.004955,1.08478591419,0.0857443809509,1.34972538257e-07
1x1x1,48,48,4,0.953125,-0.0588488368755,0.296798835532,0.00549,1.09677168773,0.0857443809509,1.34972538257e-07
1x1x1,48,48,5,0.942708333333,0.268897369958,-0.197472030155,0.0052025,1.11202640041,0.0857443809509,1.34972538257e-07
1x1x1,48,48,6,0.932291666667,-0.359592085253,-0.0390612402212,0.0051125,1.10175332116,0.0857443809509,1.34972538257e-07
1x1x1,48,48,7,0.921875,0.255784143466,0.291068645385,0.0052375,1.12381160832,0.0857443809509,1.34972538257e-07
1x1x1,48,48,8,0.911458333333,0.00850073482239,-0.411304563681,0.005335,1.09854184447,0.0857443809509,1.34972538257e-07
1x1x1,48,48,9,0.901041666667,-0.299528128298,0.313698605812,0.005235,1.12670214827,0.0857443809509,1.34972538257e-07
1x1x1,48,48,10,0.890625,0.453722100202,-0.0303869242104,0.005155,1.08751175553,0.0857443809509,1.34972538257e-07
1x1x1,48,48,11,0.880208333333,-0.370585888024,-0.296478312071,0.0051175,1.1273810404,0.0857443809509,1.34972538257e-07
1x1x1,48,48,12,0.869791666667,0.075886535955,0.487548654247,0.005125,1.08643453847,0.0857443809509,1.34972538257e-07
1x1x1,48,48,13,0.859375,0.283310288121,-0.425687549759,0.0051675,1.11715546053,0.0857443809509,1.34972538257e-07
1x1x1,48,48,14,0.848958333333,-0.513067432027,0.12661579071,0.00524,1.09774297638,0.0857443809509,1.34972538257e-07
1x1x1,48,48,15,0.838541666667,0.47822296352,0.261056833708,0.005305,1.10574576794,0.0857443809509,1.34972538257e-07
1x1x1,48,48,16,0.828125,-0.18136714084,-0.53039131271,0.0053175,1.10469260012,0.0857443809509,1.34972538257e-07
1x1x1,48,48,17,0.817708333333,-0.230584092579,0.52743156698,0.0053275,1.09928983842,0.0857443809509,1.34972538257e-07
1x1x1,48,48,18,0.807291666667,0.539575963922,-0.239035445255,0.0053075,1.08961751916,0.0857443809509,1.34972538257e-07
1x1x1,48,48,19,0.796875,-0.572593508394,-0.192683441218,0.0052975,1.08937037649,0.0857443809509,1.34972538257e-07
1x1x1,48,48,20,0.786458333333,0.298582614783,0.540677086698,0.0052575,1.09637186913,0.0857443809509,1.34972538257e-07
1x1x1,48,48,21,0.776041666667,0.148118707209,-0.613041744233,0.0052125,1.07366538728,0.0857443809509,1.34972538257e-07
1x1x1,48,48,22,0.765625,-0.53378157148,0.359020324388,0.005195,1.09435635744,0.0857443809509,1.34972538257e-07
1x1x1,48,48,23,0.755208333333,0.648170234934,0.0976510102847,0.0051675,1.0467576895,0.0857443809509,1.34972538257e-07
1x1x1,48,48,24,0.744791666667,-0.419402342514,-0.51902509415,0.005145,1.08006851471,0.0857443809509,1.34972538257e-07
1x1x1,48,48,25,0.734375,-0.0420513673856,0.677440065154,0.0051225,1.02283261587,0.0857443809509,1.34972538257e-07
1x1x1,48,48,26,0.723958333333,0.49660199884,-0.478822290986,0.0051225,1.08290332317,0.0857443809509,1.34972538257e-07
1x1x1,48,48,27,0.713541666667,-0.700384251181,0.0178938712554,0.005105,1.01989923685,0.0857443809509,1.34972538257e-07
1x1x1,48,48,28,0.703125,0.536414580467,0.466770427767,0.0050975,1.08655500706,0.0857443809509,1.34972538257e-07
1x1x1,48,48,29,0.692708333333,-0.0813820240353,-0.716611562211,0.005125,1.03184596037,0.0857443809509,1.34972538257e-07
1x1x1,48,48,30,0.682291666667,-0.429854302484,0.591357218805,0.00513,1.05831464315,0.0857443809509,1.34972538257e-07
1x1x1,48,48,31,0.671875,0.725809493546,-0.1475959466,0.005135,1.05638354265,0.0857443809509,1.34972538257e-07
1x1x1,48,48,32,0.661458333333,-0.642875692428,-0.386243080649,0.005155,1.07399563593,0.0857443809509,1.34972538257e-07
1x1x1,48,48,33,0.651041666667,0.2157078078,0.727746446173,0.00518,1.07704135192,0.0857443809509,1.34972538257e-07
1x1x1,48,48,34,0.640625,0.336389852652,-0.690247402319,0.005195,1.07469925579,0.0857443809509,1.34972538257e-07
1x1x1,48,48,35,0.630208333333,-0.72227313096,0.284884153456,0.0052125,1.07175704148,0.0857443809509,1.34972538257e-07
