case_id,grid,shape,spacing,anisotropy,rho_frozen,rho_eff,stencil_m,n_directions,apriori_bound,in_domain,domain_reasons,area_true,area_v2,area_rel_err,area_E0,area_E0_rel_err,volume_true,volume_est,volume_rel_err,sphericity_true,sphericity_v2,sphericity_rel_err
confirm-000-sphere-size5-sp1.5x1x1-offset0,confirm,sphere,1.5x1.0x1.0,1.5,3.3333333333333335,3.342646974180369,2,49,0.05065120453804725,False,rho_eff 3.34 < 8.0,314.1592653589793,307.61935959755914,-0.02081716658570376,345.21112060546875,0.09884112509305587,523.5987755982989,528.0,0.008405719430248926,0.9999999999999997,1.0269746947598644,0.026974694759864803
confirm-001-sphere-size5-sp1.5x1x1-offset1,confirm,sphere,1.5x1.0x1.0,1.5,3.3333333333333335,3.310688545402854,2,49,0.051144542595083956,False,rho_eff 3.31 < 8.0,314.1592653589793,302.6861305356744,-0.03652012239777469,339.0984802246094,0.07938398645391809,523.5987755982989,513.0,-0.020242170326292275,0.9999999999999997,1.0238504207005465,0.023850420700546993
confirm-002-sphere-size10-sp1.5x1x1-offset0,confirm,sphere,1.5x1.0x1.0,1.5,6.666666666666667,6.667043203455369,3,145,0.02635381406329451,False,rho_eff 6.67 < 8.0,1256.6370614359173,1242.445360323865,-0.01129339691432929,1379.12939453125,0.09747630151490583,4188.790204786391,4189.5,0.00016945112524324735,0.9999999999999997,1.0115366490983173,0.011536649098317753
confirm-003-sphere-size10-sp1.5x1x1-offset1,confirm,sphere,1.5x1.0x1.0,1.5,6.666666666666667,6.667838793344001,3,145,0.02635056355259721,False,rho_eff 6.67 < 8.0,1256.6370614359173,1242.5891683394696,-0.011178958131630834,1382.7484130859375,0.10035622497550478,4188.790204786391,4191.0,0.0005275497472001511,0.9999999999999997,1.0116609847069653,0.011660984706965749
confirm-004-sphere-size20-sp1.5x1x1-offset0,confirm,sphere,1.5x1.0x1.0,1.5,13.333333333333334,13.335080938770483,4,289,0.01478170912536449,True,,5026.548245743669,5006.32738099185,-0.00402281322355591,5536.95068359375,0.10154133868749282,33510.32163829113,33523.5,0.00039326276396622895,0.9999999999999994,1.004302278481346,0.0043022784813466775
confirm-005-sphere-size20-sp1.5x1x1-offset1,confirm,sphere,1.5x1.0x1.0,1.5,13.333333333333334,13.333091726673194,4,289,0.014783191601552328,True,,5026.548245743669,5004.53786626781,-0.0043788258661391355,5534.951171875,0.10114354847023121,33510.32163829113,33508.5,-5.436051347973425e-05,0.9999999999999994,1.00436168425129,0.004361684251290576
confirm-006-sphere-size30-sp1.5x1x1-offset0,confirm,sphere,1.5x1.0x1.0,1.5,20.0,20.004842117107582,4,289,0.012021260108816736,True,,11309.733552923255,11295.673215041044,-0.0012432068197200108,12465.53125,0.10219495372444065,113097.33552923254,113179.5,0.0007264934260651223,0.9999999999999996,1.0017296274303404,0.0017296274303408854
confirm-007-sphere-size30-sp1.5x1x1-offset1,confirm,sphere,1.5x1.0x1.0,1.5,20.0,20.00386992710089,4,289,0.012021474681210051,True,,11309.733552923255,11295.85396523813,-0.0012272249934250912,12462.0234375,0.10188479500287695,113097.33552923254,113163.0,0.000580601394897462,0.9999999999999996,1.0016162386327991,0.0016162386327995826
confirm-008-ellipsoid-size10-sp1.5x1x1-rot0,confirm,ellipsoid,1.5x1.0x1.0,1.5,3.0,4.312709671069407,2,49,0.04049757732075795,False,rho_eff 4.31 < 8.0,568.773361551602,557.960539731256,-0.01901077397656048,609.969482421875,0.07242976492058428,1130.9733552923253,1134.0,0.0026761414789409077,0.9229534383814795,0.9425173246290843,0.021197045738204023
confirm-009-ellipsoid-size10-sp1.5x1x1-rot1,confirm,ellipsoid,1.5x1.0x1.0,1.5,3.0,4.312709671069407,2,49,0.04049757732075795,False,rho_eff 4.31 < 8.0,568.773361551602,560.7234041275136,-0.014153189949206224,617.1531982421875,0.08505995526690335,1130.9733552923253,1134.0,0.0026761414789409077,0.9229534383814795,0.9378732388999972,0.01616527974009352
confirm-010-ellipsoid-size10-sp1.5x1x1-rot2,confirm,ellipsoid,1.5x1.0x1.0,1.5,3.0,4.305090026804623,2,49,0.04055170303273886,False,rho_eff 4.31 < 8.0,568.773361551602,558.8098671261986,-0.01751751242045374,627.9351806640625,0.10401650835241005,1130.9733552923253,1128.0,-0.0026290232907890676,0.9229534383814795,0.9377623482741312,0.01604513215598513
confirm-011-ellipsoid-size20-sp1.5x1x1-rot0,confirm,ellipsoid,1.5x1.0x1.0,1.5,6.0,8.627320470554388,3,145,0.020866745262431572,True,,2275.093446206408,2261.141027656966,-0.006132679329153179,2464.485107421875,0.08324566251609022,9047.786842338603,9078.0,0.0033392870751569603,0.9229534383814795,0.930714742607768,0.008409204520543279
confirm-012-ellipsoid-size20-sp1.5x1x1-rot1,confirm,ellipsoid,1.5x1.0x1.0,1.5,6.0,8.613994932288994,3,145,0.020891933858491602,True,,2275.093446206408,2255.948384356161,-0.008415066151313488,2468.89599609375,0.08518443504397455,9047.786842338603,9036.0,-0.0013027320983565183,0.9229534383814795,0.9299775124817176,0.007610431694751174
confirm-013-ellipsoid-size20-sp1.5x1x1-rot2,confirm,ellipsoid,1.5x1.0x1.0,1.5,6.0,8.622090349395139,3,145,0.020876617575173742,True,,2275.093446206408,2258.135898844697,-0.00745356081526527,2541.384033203125,0.1170459997767308,9047.786842338603,9061.5,0.001515636685562427,0.9229534383814795,0.9308237289649312,0.008527288870880945
confirm-014-ellipsoid-size40-sp1.5x1x1-rot0,confirm,ellipsoid,1.5x1.0x1.0,1.5,12.0,17.23192131894989,4,289,0.01278886573757774,True,,9100.373784825631,9072.516151354203,-0.0030611526658256283,9824.6103515625,0.07958316700622703,72382.29473870882,72337.5,-0.0006188632022585683,0.9229534383814793,0.925405418411329,0.002656667094874887
confirm-015-ellipsoid-size40-sp1.5x1x1-rot1,confirm,ellipsoid,1.5x1.0x1.0,1.5,12.0,17.234303145763313,4,289,0.012788043465670917,True,,9100.373784825631,9068.618361233917,-0.0034894636574889226,9899.509765625,0.08781353378384127,72382.29473870882,72367.5,-0.0002043972046233966,0.9229534383814793,0.9260591176639572,0.0033649360339609302
confirm-016-ellipsoid-size40-sp1.5x1x1-rot2,confirm,ellipsoid,1.5x1.0x1.0,1.5,12.0,17.235136629632603,4,289,0.01278775580470822,True,,9100.373784825631,9068.834689668016,-0.003465692278508903,10138.67578125,0.11409443402815822,72382.29473870882,72378.0,-5.933410545111428e-05,0.9229534383814793,0.9261265994138549,0.0034380510439835366
