case_id,grid,shape,spacing,anisotropy,rho_target,rho_in,rho_eff,r_in,stencil_m,n_directions,n_orbits,apriori_bound,n_voxels,area_true,area_v3,area_rel_err,area_E0,area_E0_rel_err,volume_true,volume_est,volume_rel_err,sphericity_true,sphericity_v3,sphericity_rel_err
confirm2-0000-sphere-rho4-sp1.2x1x1-offset0,confirm2,sphere,1.2x1x1,1.2,4.0,3.6094013046179527,4.003316758058849,4.331281565541543,2,49,12,0.04748464252465051,387,289.52917895483534,282.5868598733278,-0.023977960033487733,310.71558090982353,0.0731753601881111,463.2466863277364,464.4,0.0024896317800049417,0.9999999999999996,1.0262668521492024,0.02626685214920288
confirm2-0001-sphere-rho4-sp1.2x1x1-offset1,confirm2,sphere,1.2x1x1,1.2,4.0,3.72677996249965,3.996408518693376,4.47213595499958,2,49,12,0.04563944304719893,385,289.52917895483534,282.06836069566003,-0.025768795691363255,310.93666985767345,0.07393897561591722,463.2466863277364,462.0,-0.0026911931904342046,0.9999999999999996,1.024607979197492,0.02460797919749247
confirm2-0002-ellipsoid-rho4-sp1.2x1x1-rot0,confirm2,ellipsoid,1.2x1x1,1.2,4.0,3.72677996249965,6.0549397384914645,4.47213595499958,2,49,12,0.04563944304719893,1339,740.4538203594967,726.3477641718657,-0.019050554943159548,795.6032968122686,0.07448064273069233,1621.3634021470777,1606.8,-0.00898219494025354,0.9013768296955864,0.9133713871379925,0.013306928963835007
confirm2-0003-ellipsoid-rho4-sp1.2x1x1-rot1,confirm2,ellipsoid,1.2x1x1,1.2,4.0,4.166666666666667,6.075969219226258,5.0,2,49,12,0.0400562265638132,1353,740.4538203594967,728.1403801912325,-0.016629585572650596,797.0019569135936,0.07636956552758734,1621.3634021470777,1623.6,0.001379455000624974,0.9013768296955864,0.9174626012522978,0.017845778842733306
confirm2-0004-cylinder-rho4-sp1.2x1x1-rot0,confirm2,cylinder,1.2x1x1,1.2,4.0,3.72677996249965,4.753804325661813,4.47213595499958,2,49,12,0.04563944304719893,648,463.2466863277366,430.64444083786896,-0.0703777198026243,473.3998104010115,0.02191731613616299,764.3570324407654,777.6,0.017325630558989946,0.8727087161424514,0.9495899591456098,0.08809496408261985
confirm2-0005-cylinder-rho4-sp1.2x1x1-rot1,confirm2,cylinder,1.2x1x1,1.2,4.0,3.8873012632302,4.7366247074206465,4.66476151587624,2,49,12,0.04338152461641795,641,463.2466863277366,429.01813334463833,-0.0738883924986834,487.4601723603521,0.05226909710798222,764.3570324407654,769.1999999999999,0.006336001833815663,0.8727087161424514,0.9463126796938448,0.08433966819620853
confirm2-0006-box-rho4-sp1.2x1x1-rot0,confirm2,box,1.2x1x1,1.2,4.0,4.166666666666667,5.6708373954830344,5.0,2,49,12,0.0400562265638132,1100,705.9456,651.101348485468,-0.07768906203896175,686.1446947238414,-0.028048769304828247,1265.17248,1320.0,0.04333600427350426,0.8013324191666676,0.8937543127717626,0.11533527334537097
confirm2-0007-box-rho4-sp1.2x1x1-rot1,confirm2,box,1.2x1x1,1.2,4.0,4.166666666666667,5.595960349815735,5.0,2,49,12,0.0400562265638132,1057,705.9456,635.0631933418153,-0.10040774623169924,720.998462630489,0.021322978187680475,1265.17248,1268.3999999999999,0.002551051379176217,0.8013324191666676,0.8922872154602566,0.1135044509844938
confirm2-0008-capsule-rho4-sp1.2x1x1-rot0,confirm2,capsule,1.2x1x1,1.2,4.0,3.5355339059327373,6.548685010750203,4.242640687119285,2,49,12,0.048741229982413245,1694,940.9698316032147,929.2641284261911,-0.012440040885348669,990.309702872106,0.05243512556064256,2026.704252683847,2032.8,0.003007714277048823,0.8230672927423685,0.8351055816178392,0.01462612957849485
confirm2-0009-capsule-rho4-sp1.2x1x1-rot1,confirm2,capsule,1.2x1x1,1.2,4.0,3.975620147292188,6.547396153206437,4.770744176750625,2,49,12,0.04225418876465398,1693,940.9698316032147,928.7980462343096,-0.012935361963907988,1009.5653683841675,0.07289876303906628,2026.704252683847,2031.6,0.0024156199947129586,0.8230672927423685,0.8351957981720607,0.01473573975863074
confirm2-0010-torus-rho4-sp1.2x1x1-rot0,confirm2,torus,1.2x1x1,1.2,4.0,4.0,9.213081753499134,4.8,2,49,12,0.04195607106163196,4717,2364.9151281714276,2342.4174912385533,-0.009513084281493667,2573.803132537504,0.08832790736451956,5675.796307611426,5660.4,-0.0027126251149603986,0.6506584872679025,0.6557192050115704,0.007777840207568332
confirm2-0011-torus-rho4-sp1.2x1x1-rot1,confirm2,torus,1.2x1x1,1.2,4.0,3.993049516903646,9.233220411172542,4.791659420284375,2,49,12,0.04204050559275169,4748,2364.9151281714276,2340.8485636568807,-0.010176502415608968,2593.2687482785186,0.09655890707742065,5675.796307611426,5697.599999999999,0.0038415212961984135,0.6506584872679025,0.6590303922034804,0.012866818921752898
confirm2-0012-sphere-rho6.5-sp1.2x1x1-offset0,confirm2,sphere,1.2x1x1,1.2,6.5,6.148622248565573,6.513706204162772,7.378346698278687,2,49,12,0.027979085250743684,1667,764.5379881776121,759.8069436806863,-0.006188109119604213,834.9347982485438,0.09207758301027358,1987.798769261791,2000.3999999999999,0.006339288932595721,0.9999999999999994,1.0104746674848397,0.010474667484840383
confirm2-0013-sphere-rho6.5-sp1.2x1x1-offset1,confirm2,sphere,1.2x1x1,1.2,6.5,5.937171043518958,6.501962717987846,7.12460525222275,2,49,12,0.02872260508138478,1658,764.5379881776121,757.0526777518534,-0.00979063243619982,828.6735401353171,0.08388798588096513,1987.798769261791,1989.6,0.0009061434014661085,0.9999999999999994,1.0104974131547546,0.010497413154755275
confirm2-0014-ellipsoid-rho6.5-sp1.2x1x1-rot0,confirm2,ellipsoid,1.2x1x1,1.2,6.5,6.666666666666667,9.868490627608967,8.0,2,49,12,0.02644713638556046,5797,1955.2608693867958,1943.6370976785183,-0.0059448700121139675,2106.881324051724,0.0775448724202612,6957.295692416269,6956.4,-0.00012874146160635203,0.9013768296955864,0.9066896169023285,0.005894080069194008
confirm2-0015-ellipsoid-rho6.5-sp1.2x1x1-rot1,confirm2,ellipsoid,1.2x1x1,1.2,6.5,6.584915421712804,9.870192678458105,7.901898506055364,2,49,12,0.026665091064904677,5800,1955.2608693867958,1941.218081110241,-0.0071820535542956865,2117.2348972020986,0.08284011118480605,6957.295692416269,6960.0,0.00038870096992993375,0.9013768296955864,0.9081326492528973,0.007495000242675909
confirm2-0016-cylinder-rho6.5-sp1.2x1x1-rot0,confirm2,cylinder,1.2x1x1,1.2,6.5,6.066758241067099,7.829472244753357,7.280109889280518,2,49,12,0.028257731353639563,2895,1223.2607810841791,1209.7479069326644,-0.011046601313857485,1295.2906150485371,0.05888346547047618,3279.867969281956,3474.0,0.059188977280858035,0.8727087161424516,0.9169432429913882,0.05068647308171981
